company_name,city,sector,website,email,phone
مؤسسة الشمراني للمقاولات العامة,Jeddah,Construction,https://masaa.com.sa,info@masaa.com.sa,+966551115648
شركة السبع سنابل للمقاولات,Jeddah,Construction,https://www.7sanabl.com,info@7sanabl.com,+966126981605
شركة بروج جدة الجديدة للمقاولات,Jeddah,Construction,https://www.newjeddahtowers.com,bjc.info@newjeddahtowers.com,+966122830822
خيال جدة للمقاولات,Jeddah,Construction,https://khyaljeddah.sa,info@khyaljeddah.sa,+966535588407
مؤسسة ماج الحديثة للمقاولات,Jeddah,Construction,https://www.modernmaj.sa,info@modernmaj.sa,+966547457492
شركة السعد للمقاولات العامة,Jeddah,Construction,http://www.alsaad.com.sa,jeddah@alsaad.com.sa,+966126830306
شركة شرم أبحر للمقاولات العامة,Jeddah,Construction,https://sharmobhur.sa,info@sharmobhur.sa,+966554772440
شركة الهضب للتجارة والمقاولات,Jeddah,Construction,https://alhadab.com.sa,hr@alhadab.com.sa,+966112498383
شركة البكسوماتي للمساحة,Jeddah,Surveying,https://www.alboksomatti.com,bkstm@alboksomatti.com,+966126722546
KSA Land Surveyors,Jeddah,Surveying,https://www.ksalandsurveyors.com,Ksa.Ls@KsaLandSurveyors.com,+966507120239
Talal Abbas Adham & Partners TAPCo,Jeddah,Surveying,https://www.tapconsu.com,info@tapconsu.com,+966920001701
شركة سدنا للاستشارات الهندسية,Jeddah,Engineering,https://sedna-eng.com,info@sedna-eng.com,+966548489266
Construction Line Engineering Consulting,Jeddah,Engineering,https://constrlineco.com,Info@ConstrLineCo.com,+966559436686
MTEC Engineering Consultancy,Jeddah,Engineering,https://www.mtec-consultancy.com.sa,mtec@turkigroup.com,+966126163180
Muhakah Engineering Consultants,Jeddah,Engineering,https://muhakah.sa,Info@muhakah.sa,
GIS Mappers,Jeddah,Surveying,https://www.gismappers.com,info@gismappers.com,+966580043496
Solaiman El Khereiji Consultants SAK,Jeddah,Engineering,https://www.sak-consult.com,info@sak-consult.com,
مكتب يحي الشهري للاستشارات الهندسية,Abha,Engineering,https://elshehry-consult.com,,+966530954472
مكتب الحداد للاستشارات الهندسية,Abha,Engineering,https://heng.sa,,
مكتب فهد الحمراني للاستشارات الهندسية,Abha,Engineering,https://assetsprice.net,info@assetsprice.net,
شركة عبداللطيف الزميلي Zamco,Abha,Construction,https://zamco.sa,,
شركة روابي أبها للتطوير العقاري,Abha,Construction,https://rawabyabha.com,,
شركة الباب العالي السعودية للمقاولات,Abha,Construction,https://albab-alali.com.sa,,
شركة بيل دنق للمقاولات,Abha,Construction,https://building-ltd.com,building.limted@gmail.com,+966551800880
شركة الوجيه للمقاولات,Abha,Construction,https://alwajeeh-con.com.sa,,
مكتب بناء الديار للاستشارات الهندسية,Abha,Engineering,,,
مكتب صروح البناء للاستشارات الهندسية,Abha,Engineering,,,
مكتب قمة الإنجاز للاستشارات الهندسية,Abha,Engineering,,,
